platform,country,region,category,sound_type,duration_sec,views,likes,comments,trend_label,genre,publish_dayofweek,publish_period,creator_avg_views,title_length,completion_rate,traffic_source
1,Us,North America,Food,licensed,26,27099,1868,257,rising,Travel,Sunday,Evening,86079.6,22,0.777,ForYou
1,Us,North America,Fitness,trending,18,172755,8917,1084,seasonal,Music,Sunday,Night,101492.8,17,0.728,ForYou
1,Us,North America,Comedy,trending,62,481882,35108,4168,rising,Pets,Friday,Evening,91145.8,20,0.806,ForYou
1,Mx,North America,Travel,trending,23,33310,3677,307,declining,Lifestyle,Thursday,Afternoon,85917.1,24,0.678,ForYou
1,Mx,North America,Lifestyle,original,41,23423,1373,151,declining,Beauty,Saturday,Night,90734.5,22,0.815,ForYou
1,Mx,North America,Sports,trending,22,8948,819,72,seasonal,Gaming,Saturday,Morning,110084.9,30,0.595,Search
1,Mx,North America,Lifestyle,original,36,25840,1333,198,stable,Gaming,Friday,Evening,105698,23,0.692,ForYou
1,Mx,North America,Fitness,trending,11,30168,2723,237,seasonal,Education,Wednesday,Evening,93727.3,16,0.627,Following
1,Mx,North America,Gaming,licensed,24,79456,5335,849,declining,Food,Sunday,Afternoon,105585.7,25,0.717,ForYou
1,Mx,North America,News,original,31,11171,1121,110,rising,Food,Wednesday,Evening,95967.2,29,0.758,ForYou
1,Mx,North America,News,original,23,152175,13424,1209,declining,Food,Thursday,Night,97568.1,16,0.739,Search
1,Mx,North America,Fashion,trending,30,116006,8492,720,seasonal,Travel,Wednesday,Afternoon,62987.8,19,0.783,ForYou
2,Ca,North America,Finance,trending,41,37907,966,102,stable,Lifestyle,Saturday,Evening,101777.7,22,0.524,Search
2,Ca,North America,Beauty,trending,45,47909,980,142,rising,Dance,Saturday,Evening,93948.2,20,0.551,Search
2,Mx,North America,Education,licensed,61,111043,3664,448,declining,Sports,Friday,Evening,106295.8,22,0.489,Suggested
2,Us,North America,Tech,licensed,85,183491,8635,803,declining,Dance,Friday,Afternoon,86941.3,25,0.425,External
2,Mx,North America,Beauty,trending,18,12889,718,99,seasonal,Beauty,Wednesday,Morning,99598.4,27,0.461,Suggested
2,Us,North America,Comedy,original,62,78342,2034,286,rising,Sports,Saturday,Evening,84206,24,0.689,Search
1,Us,North America,Finance,original,32,35196,2591,170,seasonal,Comedy,Friday,Night,108363,29,0.8,ForYou
1,Ca,North America,Pets,trending,31,10976,790,112,declining,Dance,Thursday,Evening,85369.3,20,0.635,ForYou
